Zr,2687.3720000000003
Cu,2023.849
B,1688.182
Nb,1275.1200000000006
Si,1248.05
Ni,1209.4589999999998
La,1040.3750000000005
Ge,935.508
Pd,932.5559999999998
V,908.8220000000001
Ba,905.1320000000001
Fe,848.8169999999996
Rh,810.4069999999998
Be,804.76
Sb,772.9060000000001
C,764.5100000000002
Sr,751.6609999999997
Se,735.417
Mo,719.5419999999999
As,698.928
Sn,689.0370000000004
Al,652.153
Ru,564.2719999999999
Co,505.208
Ga,504.67600000000004
Y,499.523
In,496.10499999999985
S,487.3090000000001
Ti,477.34400000000005
Bi,475.76800000000003
Ir,465.0520000000001
Pt,375.9330000000001
Th,334.04699999999997
P,333.57199999999995
Ca,330.90299999999996
Te,328.87399999999997
U,297.426
Re,292.94000000000005
Mg,251.43200000000002
Ce,239.93500000000003
Pb,234.75000000000003
Os,199.49400000000003
Lu,173.76199999999997
Ta,170.651
Pr,162.036
Tl,161.37300000000002
Hg,146.624
Au,141.702
K,131.45699999999994
Nd,129.902
Hf,126.231
W,112.44799999999998
Sc,109.64699999999999
Sm,101.46099999999997
N,98.62499999999997
Er,91.75500000000001
Li,91.64999999999999
Ag,90.4
Cr,84.688
Ho,82.953
Tm,82.23999999999998
Gd,81.446
Zn,78.86600000000001
Cl,75.65
Na,65.83599999999997
Yb,59.199999999999996
Dy,58.278000000000006
Tb,54.414000000000016
Cd,54.266000000000005
H,50.172000000000004
Eu,45.58100000000001
F,41.87000000000001
Br,34.3
Mn,26.110999999999997
I,23.38
Tc,16.130000000000003
Rb,13.104999999999999
Cs,7.77
Pu,5.9
Np,3.1
Pa,1.0
